stem,filename,date,brow_span_3d,brow_height_asym,eye_anchor_spacing_3d,eye_level_asym,brow_eye_left_3d,brow_eye_right_3d,brow_eye_asym,nose_ridge_length_3d,nose_base_width_3d,nose_axis_bend_3d,nose_base_asym,nose_projection_3d,midface_ratio,mouth_width_3d,mouth_height_3d,mouth_nose_offset,central_depth_contrast,geometry_anomaly_score,features_over_2_5mad,top_changed_features
2001_06_16__71d032996fa8,2001_06_16__71d032996fa8.png,2001-06-16,1.319541074776486,0.02103348352520973,1.2999422128966414,0.0453850945423796,0.34903178770154464,0.37590447611561795,0.02687268841407331,0.879712967577281,0.5902779207626383,0.008184268575764563,0.03352979758232605,0.5061148996218517,0.9000842855488114,1.3475749486443032,0.3217988621739002,0.014908800998511579,0.8187224410825245,2.493102736678927,2,nose_base_asym; brow_span_3d; nose_base_width_3d; central_depth_contrast; mouth_width_3d
2008_02_01__1c9577a6c773,2008_02_01__1c9577a6c773.png,2008-02-01,1.238146951904111,0.03933371743402003,1.2820649635144918,0.045777627311546776,0.3342723741458176,0.35583326385780684,0.021560889711989217,0.8848052953111436,0.5022856993921188,0.013043474866703736,0.05143472642583404,0.4738032766743127,0.9350237107887793,1.2033489444995829,0.2512855920440509,0.035960186623029675,0.9041020380477783,2.4588778813881413,1,nose_base_asym; brow_height_asym; nose_axis_bend_3d; mouth_nose_offset; nose_base_width_3d
2012_03_05__99b28879de92,2012_03_05__99b28879de92.png,2012-03-05,1.2985507424244678,0.017568174675294035,1.3098900002411047,0.031758777227756885,0.2991548587034777,0.31663620436886175,0.017481345665384063,0.8998598983442359,0.588914203817281,0.009931848479813491,0.012714231834816899,0.5657190521127022,0.9157025161897783,1.4570024860205242,0.2798518360916734,0.028257235527368155,0.930172944980895,2.444661728656872,2,mouth_width_3d; nose_projection_3d; nose_base_width_3d; brow_span_3d; brow_eye_right_3d
2011_03_01__7cb427856761,2011_03_01__7cb427856761.png,2011-03-01,1.2354205995506589,0.01604582323380388,1.1972464083662602,0.0642310689896976,0.3552663216507696,0.4410073913663387,0.08574106971556911,0.8411098735187426,0.48642294461211383,0.008111169746657845,0.01192034915033333,0.4558541672138792,1.0014035288477554,1.2073215639663204,0.25318337105111033,0.03617231116088775,0.8489078930192315,2.4077225138552087,2,brow_eye_asym; brow_eye_right_3d; nose_ridge_length_3d; nose_base_width_3d; eye_level_asym
2003_10_10__72f1e0141a60,2003_10_10__72f1e0141a60.png,2003-10-10,1.3074574150486518,0.0031622440171859,1.3187161384861619,0.03360838082911621,0.3159288204219054,0.3452663737816815,0.029337553359776114,0.8929724235095374,0.5900329853482792,0.0168551380904542,0.008083225577361207,0.5535648639323607,0.8877805856360195,1.3819875034312614,0.33501875514076207,0.005369363791816899,0.911217125179183,2.3991373076400473,1,nose_axis_bend_3d; mouth_width_3d; nose_base_width_3d; nose_projection_3d; midface_ratio
2007_12_30__bdd0bc1da63f,2007_12_30__bdd0bc1da63f.png,2007-12-30,1.2854059862125322,0.018302206555672718,1.2922188045778598,0.04974861316577717,0.3170998150647224,0.3480867247428944,0.030986909678172025,0.900089624796671,0.6034561295657421,0.01041995172540877,0.014236715805741876,0.5663553991615047,0.925763757506531,1.4655421913697904,0.2405976307393599,0.02662510572456825,0.9198518926853527,2.3919872815330008,3,mouth_width_3d; nose_base_width_3d; nose_projection_3d; brow_span_3d; eye_anchor_spacing_3d
2007_09_13__b79f7e4fa307,2007_09_13__b79f7e4fa307.png,2007-09-13,1.232344839360859,0.048979242863912864,1.259170381020514,0.03947654182331228,0.32177208980380206,0.32211220850463196,0.0003401187008298945,0.9147728726286619,0.5907968163294864,0.01454530489646742,0.012823137272764504,0.5540224322923921,0.9517683702618492,1.3909461845205922,0.3237821863708009,0.009187505359502295,0.9457596357117557,2.3477322910535836,1,mouth_width_3d; nose_base_width_3d; brow_height_asym; nose_projection_3d; brow_eye_asym
2006_12_21__4a0f42ab7782,2006_12_21__4a0f42ab7782.png,2006-12-21,1.1986362211361552,0.022466431478519122,1.2026453218328073,0.05904629252381188,0.399196186837908,0.4410944719719288,0.04189828513402083,0.8503065567864716,0.5234993072771333,0.008080954406563824,0.012944385140787926,0.44342833501779055,0.9573898208326006,1.1638344395046503,0.28489999799159127,0.007673331419560246,0.8221761305149496,2.257947795245626,2,brow_eye_right_3d; brow_eye_left_3d; nose_ridge_length_3d; central_depth_contrast; brow_span_3d
2008_02_12_2__5915242188c1,2008_02_12_2__5915242188c1.png,2008-02-12,1.284866818926882,0.019359756299084707,1.2559558372692352,0.030048934979057695,0.36531389468308373,0.3835815206382162,0.018267625955132483,0.8724844812278076,0.4836483881485907,0.011787997726954623,0.0010705186025625549,0.4457415879433217,0.9381604169258062,1.1106506440828179,0.2794215186255673,0.0018368262099729693,0.7914780347670014,2.248482402079074,2,nose_base_asym; central_depth_contrast; eye_level_asym; nose_base_width_3d; mouth_width_3d
2011_02_24_2__d7e36165ddcb,2011_02_24_2__d7e36165ddcb.png,2011-02-24,1.290585915793988,0.03612935348687418,1.2910975878503295,0.027866109494735336,0.35234049161063685,0.35107758488933827,0.0012629067212985845,0.8790628815640806,0.6082020179550924,0.006587981088159179,0.014982148294689232,0.4991731757576302,0.9361565970131366,1.3831095963467275,0.24021481487448493,0.010766664372559125,0.911183411294729,2.2306678823568564,2,nose_base_width_3d; mouth_width_3d; eye_level_asym; brow_eye_asym; brow_span_3d
2010_07_19__fc479667e703,2010_07_19__fc479667e703.png,2010-07-19,1.3163985856854783,0.023284491775885208,1.2713603952481436,0.039994129334393946,0.35542022861610273,0.3788543047668708,0.02343407615076809,0.8559160785539998,0.5203571504332967,0.009755535907193726,0.020481324363467474,0.4514824477390963,0.9199552919808454,1.1379450941893552,0.2649643970517852,0.00558493081631109,0.7349746141791504,2.216550521091861,1,central_depth_contrast; brow_span_3d; nose_ridge_length_3d; mouth_width_3d; midface_ratio
2002_11_01__91b483a91623,2002_11_01__91b483a91623.png,2002-11-01,1.2519317026292296,0.04318156927082162,1.2617110394326965,0.0497824811310742,0.3263969931045195,0.340422106588486,0.014025113483966511,0.9130919923400547,0.5927632381112493,0.008633016997649757,0.019222893401803852,0.5430445536486809,0.9737327398487753,1.4160953644287557,0.3269313656002242,0.019926150503761744,0.9503183914234681,2.171407563719505,1,mouth_width_3d; nose_base_width_3d; nose_projection_3d; brow_height_asym; central_depth_contrast
2007_11_20__c27cb3b07a3c,2007_11_20__c27cb3b07a3c.png,2007-11-20,1.1942304351367947,0.020997033210994887,1.1825919018949214,0.05815476873067804,0.28132839064139425,0.3270666273682085,0.04573823672681426,0.8359348904042058,0.4880978619972159,0.008098328968496018,0.013368434243921595,0.46080402843302304,1.0138428220456028,1.1566097705367862,0.3655928861821748,0.02491628804003823,0.801742213270192,2.1586240287460927,2,nose_ridge_length_3d; central_depth_contrast; brow_eye_left_3d; mouth_height_3d; brow_span_3d
2005_06_28__422c53a1b9ba,2005_06_28__422c53a1b9ba.png,2005-06-28,1.2313083635051918,0.0035605965092537772,1.20762991382316,0.047210193576541326,0.31274905169285017,0.3718457223635953,0.059096670670745144,0.8443830227313875,0.5014940258579071,0.007073954595098756,0.015632182034473103,0.5018139985787891,0.9517987649553998,1.1388489070805838,0.45258342873958235,0.03729694780073681,0.8770509572835747,2.130416682931592,1,mouth_height_3d; nose_ridge_length_3d; brow_eye_asym; brow_height_asym; mouth_nose_offset
2008_01_12__0fa6831a685b,2008_01_12__0fa6831a685b.png,2008-01-12,1.2906448258733292,0.012187383805797758,1.2636048760793672,0.033710067877087746,0.378912039901918,0.4062813554344681,0.027369315532550065,0.8644158703318866,0.5182594914862585,0.015741022674822885,0.0036787612950103035,0.47076827618581857,0.9048721861310164,1.1707570264388218,0.2839285165195603,0.002170926576770933,0.8183860078167551,2.107156851258256,1,nose_base_asym; nose_axis_bend_3d; central_depth_contrast; brow_eye_left_3d; midface_ratio
2010_09_20_2__89a2ee86126a,2010_09_20_2__89a2ee86126a.png,2010-09-20,1.3060313829256678,0.01498991455375398,1.2945341586518877,0.03421049449530944,0.3259495751826395,0.34833216483897433,0.022382589656334828,0.8918300122136882,0.5879655269001802,0.00877554154998416,0.01065610367195971,0.5297969829968785,0.8961959030135193,1.3685186145798014,0.2714460507219071,0.0011225306243052707,0.8287228866864991,2.0691856341158363,0,nose_base_width_3d; mouth_width_3d; brow_span_3d; midface_ratio; central_depth_contrast
