metric,description_ru,filename,date,value,robust_z,abs_robust_z
nose_axis_bend_3d,Отклонение промежуточных точек спинки от прямой,2008_01_05__7cc5adb4554f.png,2008-01-05,0.02109829417246658,4.202339133792547,4.202339133792547
nose_base_width_3d,Ширина основания носа,2008_01_05__7cc5adb4554f.png,2008-01-05,0.6347822498253876,4.1091383319067685,4.1091383319067685
eye_level_asym,Разность уровней глазничных якорей,2008_01_05__7cc5adb4554f.png,2008-01-05,0.008218688599236634,-4.09758285306694,4.09758285306694
brow_height_asym,Разность вертикального положения бровей,2011_06_21__0d8e18daf476.png,2011-06-21,0.06666764910528167,3.9072639267378464,3.9072639267378464
mouth_width_3d,Ширина рта,2007_12_30__bdd0bc1da63f.png,2007-12-30,1.4655421913697904,3.7909336764900194,3.7909336764900194
mouth_height_3d,Вертикальный размах губ,2005_06_28__422c53a1b9ba.png,2005-06-28,0.45258342873958235,3.7633381837410713,3.7633381837410713
brow_span_3d,Расстояние между центрами бровей,2003_10_16__faa3a4aaff20.png,2003-10-16,1.3549183043568733,3.7517485139881837,3.7517485139881837
brow_eye_right_3d,Бровь–глазница справа,2010_02_11__66995147a003.png,2010-02-11,0.4640061967210728,3.714595391042135,3.714595391042135
mouth_height_3d,Вертикальный размах губ,2008_02_14_3__d6f0e64ab9bf.png,2008-02-14,0.449628705107596,3.6981962256708107,3.6981962256708107
mouth_nose_offset,Боковое смещение центра рта относительно носа,2001_11_01__431490e159af.png,2001-11-01,0.07245007275213512,3.6722318135976613,3.6722318135976613
mouth_width_3d,Ширина рта,2012_03_05__99b28879de92.png,2012-03-05,1.4570024860205242,3.6578261762220996,3.6578261762220996
brow_height_asym,Разность вертикального положения бровей,2006_10_11__cb83f4b73aca.png,2006-10-11,0.06357476553419039,3.637194383497745,3.637194383497745
mouth_width_3d,Ширина рта,2008_01_05__7cc5adb4554f.png,2008-01-05,1.4540280744478706,3.6114643319884565,3.6114643319884565
brow_eye_right_3d,Бровь–глазница справа,2010_06_28__80f5c9f5d085.png,2010-06-28,0.4598654162709114,3.5616901287174043,3.5616901287174043
central_depth_contrast,Выступание носа относительно глазничной плоскости,2010_01_07__3de50bb92856.png,2010-01-07,0.7645368223809237,-3.522544008025134,3.522544008025134
eye_level_asym,Разность уровней глазничных якорей,2001_11_01__431490e159af.png,2001-11-01,0.013813418154323909,-3.5208501002813177,3.5208501002813177
mouth_height_3d,Вертикальный размах губ,2001_02_27__fb61b453ec73.png,2001-02-27,0.43843822851763814,3.4514829463245413,3.4514829463245413
brow_height_asym,Разность вертикального положения бровей,2000_05_09_2__bef8b5c58a70.png,2000-05-09,0.0614138834429212,3.4485068930149154,3.4485068930149154
brow_eye_right_3d,Бровь–глазница справа,2010_01_07__3de50bb92856.png,2010-01-07,0.45667221503540134,3.4437758180100393,3.4437758180100393
mouth_width_3d,Ширина рта,2003_01_10__23b16927f674.png,2003-01-10,1.4373479137242775,3.351472399342278,3.351472399342278
midface_ratio,Глазничная ширина к вертикали до основания носа,2001_11_01__431490e159af.png,2001-11-01,0.8478829217319088,-3.348629519278768,3.348629519278768
brow_eye_asym,Асимметрия бровь–глазница,2011_03_01__7cb427856761.png,2011-03-01,0.08574106971556911,3.3484600392343413,3.3484600392343413
brow_eye_left_3d,Бровь–глазница слева,2010_02_11__66995147a003.png,2010-02-11,0.41086450273339264,3.26931828750836,3.26931828750836
mouth_height_3d,Вертикальный размах губ,2000_07_08__af2f680df36f.png,2000-07-08,0.42804367170013613,3.2223170855873544,3.2223170855873544
central_depth_contrast,Выступание носа относительно глазничной плоскости,2009_10_25__28671c6bca3b.png,2009-10-25,0.7760666570040409,-3.2057798457120734,3.2057798457120734
mouth_height_3d,Вертикальный размах губ,2000_03_25__81bbc9e35b9f.png,2000-03-25,0.42649988259404903,3.1882816028337793,3.1882816028337793
mouth_height_3d,Вертикальный размах губ,2005_09_03__e377b3477c75.png,2005-09-03,0.4254541628570142,3.1652269149009618,3.1652269149009618
central_depth_contrast,Выступание носа относительно глазничной плоскости,2010_11_01__7e0576e152de.png,2010-11-01,1.0062039311416149,3.1168816010564293,3.1168816010564293
mouth_nose_offset,Боковое смещение центра рта относительно носа,2011_12_09_2__8ba7e14bd2da.png,2011-12-09,0.0640746138052456,3.110271637216204,3.110271637216204
nose_base_width_3d,Ширина основания носа,2011_02_24_2__d7e36165ddcb.png,2011-02-24,0.6082020179550924,3.0721572661549925,3.0721572661549925
brow_eye_left_3d,Бровь–глазница слева,2007_04_08__c233b8c9babd.png,2007-04-08,0.40565585549317856,3.0616905704252857,3.0616905704252857
nose_projection_3d,Проекция кончика носа относительно крыльев,2008_01_05__7cc5adb4554f.png,2008-01-05,0.5748657062480906,3.0425614546734483,3.0425614546734483
mouth_width_3d,Ширина рта,2002_11_01__91b483a91623.png,2002-11-01,1.4160953644287557,3.0202111209551106,3.0202111209551106
mouth_nose_offset,Боковое смещение центра рта относительно носа,2010_02_11__66995147a003.png,2010-02-11,0.06255884040920365,3.0085692361423626,3.0085692361423626
nose_base_width_3d,Ширина основания носа,2003_01_10__23b16927f674.png,2003-01-10,0.6063206044229527,2.998757221369888,2.998757221369888
central_depth_contrast,Выступание носа относительно глазничной плоскости,2000_07_23__5f52c4b8b456.png,2000-07-23,0.7853237679778644,-2.9514552088969905,2.9514552088969905
midface_ratio,Глазничная ширина к вертикали до основания носа,2003_10_16__faa3a4aaff20.png,2003-10-16,0.8619450049956331,-2.947336652151803,2.947336652151803
brow_height_asym,Разность вертикального положения бровей,2004_05_18__df8bec57cdb1.png,2004-05-18,0.05515169578283041,2.901694792859527,2.901694792859527
nose_base_width_3d,Ширина основания носа,2003_10_16__faa3a4aaff20.png,2003-10-16,0.6038193723294913,2.901176043951015,2.901176043951015
nose_base_width_3d,Ширина основания носа,2007_12_30__bdd0bc1da63f.png,2007-12-30,0.6034561295657421,2.8870047654566298,2.8870047654566298
brow_eye_right_3d,Бровь–глазница справа,2006_12_21__4a0f42ab7782.png,2006-12-21,0.4410944719719288,2.8685415310884355,2.8685415310884355
mouth_nose_offset,Боковое смещение центра рта относительно носа,2001_09_06_1__245c19779dd7.png,2001-09-06,0.06045597425668105,2.8674752326409703,2.8674752326409703
brow_eye_right_3d,Бровь–глазница справа,2011_03_01__7cb427856761.png,2011-03-01,0.4410073913663387,2.8653259336904546,2.8653259336904546
brow_eye_left_3d,Бровь–глазница слева,2006_12_21__4a0f42ab7782.png,2006-12-21,0.399196186837908,2.804194488591992,2.804194488591992
nose_base_width_3d,Ширина основания носа,2002_12_02__c759b9171ecc.png,2002-12-02,0.6011930789664957,2.7987158207360454,2.7987158207360454
eye_level_asym,Разность уровней глазничных якорей,2003_08_04_5__ff990e8c18e9.png,2003-08-04,0.02085252226194012,-2.7952239821361395,2.7952239821361395
central_depth_contrast,Выступание носа относительно глазничной плоскости,2008_02_12_2__5915242188c1.png,2008-02-12,0.7914780347670014,-2.782376360168021,2.782376360168021
nose_base_width_3d,Ширина основания носа,2001_11_01__431490e159af.png,2001-11-01,0.6006987171257374,2.779429161725768,2.779429161725768
brow_height_asym,Разность вертикального положения бровей,2001_06_16_2__69d51850915d.png,2001-06-16,0.05372777678509688,2.7773586694686574,2.7773586694686574
nose_base_width_3d,Ширина основания носа,2000_01_25__abb13fb9f924.png,2000-01-25,0.6005252910183484,2.7726632467199464,2.7726632467199464
central_depth_contrast,Выступание носа относительно глазничной плоскости,2009_10_29__e12fd98ba226.png,2009-10-29,0.7919040537577362,-2.7706721551086533,2.7706721551086533
eye_anchor_spacing_3d,Расстояние между устойчивыми глазничными якорями,2003_10_16__faa3a4aaff20.png,2003-10-16,1.3507180507369894,2.7597798209444453,2.7597798209444453
nose_projection_3d,Проекция кончика носа относительно крыльев,2007_12_30__bdd0bc1da63f.png,2007-12-30,0.5663553991615047,2.7447498978132217,2.7447498978132217
central_depth_contrast,Выступание носа относительно глазничной плоскости,2010_06_28__80f5c9f5d085.png,2010-06-28,0.7929337007719068,-2.7423842147709863,2.7423842147709863
nose_ridge_length_3d,Длина переносицы/спинки,2007_11_20__c27cb3b07a3c.png,2007-11-20,0.8359348904042058,-2.7295549813737368,2.7295549813737368
nose_projection_3d,Проекция кончика носа относительно крыльев,2012_03_05__99b28879de92.png,2012-03-05,0.5657190521127022,2.7224814293103665,2.7224814293103665
brow_eye_right_3d,Бровь–глазница справа,2007_04_08__c233b8c9babd.png,2007-04-08,0.4369515055837405,2.7155555493361847,2.7155555493361847
nose_ridge_length_3d,Длина переносицы/спинки,2008_02_14_3__d6f0e64ab9bf.png,2008-02-14,0.8363702603467973,-2.707679421990931,2.707679421990931
nose_axis_bend_3d,Отклонение промежуточных точек спинки от прямой,2007_04_08__c233b8c9babd.png,2007-04-08,0.01700172378995149,2.690662459196273,2.690662459196273
brow_eye_right_3d,Бровь–глазница справа,2003_10_10_2__fdf2604badbd.png,2003-10-10,0.43564835975097166,2.6674347040498487,2.6674347040498487
nose_axis_bend_3d,Отклонение промежуточных точек спинки от прямой,2010_02_11__66995147a003.png,2010-02-11,0.016881782502009567,2.6464028882935704,2.6464028882935704
nose_axis_bend_3d,Отклонение промежуточных точек спинки от прямой,2003_10_10__72f1e0141a60.png,2003-10-10,0.0168551380904542,2.6365708259351384,2.6365708259351384
mouth_width_3d,Ширина рта,2007_09_13__b79f7e4fa307.png,2007-09-13,1.3909461845205922,2.62821346594802,2.62821346594802
brow_eye_left_3d,Бровь–глазница слева,2008_01_05__7cc5adb4554f.png,2008-01-05,0.3947626861620014,2.627465756241341,2.627465756241341
mouth_nose_offset,Боковое смещение центра рта относительно носа,2003_08_04_5__ff990e8c18e9.png,2003-08-04,0.056876005170928404,2.62727346320637,2.62727346320637
nose_projection_3d,Проекция кончика носа относительно крыльев,2003_01_10__23b16927f674.png,2003-01-10,0.5629618653682792,2.625995830311798,2.625995830311798
brow_span_3d,Расстояние между центрами бровей,2011_02_24_2__37302614bfe9.png,2011-02-24,1.3211866320023218,2.581403782075424,2.581403782075424
mouth_nose_offset,Боковое смещение центра рта относительно носа,2005_05_08__ebecb32e98dc.png,2005-05-08,0.055918652648009645,2.5630388945636025,2.5630388945636025
