stem,score106_coords,score134_coords,rank106,rank134,both_top25
2009_08_29__91867a6526c5,2.0417076969378107,1.5500330495741228,69.0,101.0,False
2009_09_19__3227c25726be,2.951363662120623,3.2963275214094434,39.0,36.0,False
2009_09_24__a781e62958f6,9.081072102215607,8.668470306287041,21.0,29.0,False
2009_10_19_2__ea77b8163b39,1.191023481452532,1.2521746801463611,127.0,125.0,False
2009_10_20__f0cd85cec0e4,1.218821017648248,1.2939248868168751,126.0,122.0,False
2009_10_25__28671c6bca3b,8.875175390019344,8.712683245375025,32.0,27.0,False
2009_10_29__e12fd98ba226,8.876311324492436,8.65619484830696,31.0,30.0,False
2009_11_25__d6449a26fbe8,2.2782194316222424,2.704248643633005,57.0,46.0,False
2009_12_10_2__e94160bb38b8,1.585622118649477,1.4872029351197353,96.0,106.0,False
2010_01_07__3de50bb92856,9.175241453508152,8.907015557440982,14.0,13.0,True
2010_02_11__66995147a003,8.977051879280884,8.577113447587307,25.0,32.0,False
2010_03_17_2__d93fd26740a2,1.2957733454523561,1.3335130846140602,120.0,120.0,False
2010_03_26_2__47ed13ad536e,2.0084666491281893,2.022865943413575,71.0,75.0,False
2010_06_28__80f5c9f5d085,9.208839703903351,8.86364368511587,12.0,19.0,True
2010_07_19__fc479667e703,9.300053808061248,8.885529145702145,7.0,16.0,True
2010_08_03__f404f7dc0b6b,9.261661322081611,9.06196656837212,11.0,7.0,True
2010_09_20_2__89a2ee86126a,2.9804515215635186,3.0173829078566126,37.0,41.0,False
2010_10_16__14bfb097ffa7,1.4017786497798126,1.407692262628518,109.0,112.0,False
2010_11_01_3__3140353e0379,1.3911468794626074,1.2037244030545198,113.0,128.0,False
2010_11_01__7e0576e152de,2.32845273834582,2.2224183421628956,52.0,62.0,False
2010_11_05_2__9eedef9c9490,1.5505180983969094,1.3731792566746401,99.0,115.0,False
2010_11_11__542e7ea9e454,1.0681947290030491,1.1528422158868505,134.0,130.0,False
2010_12_16__63103bd2e9dd,2.31784798761652,2.389236061260101,55.0,58.0,False
2011_01_14__9c042350b198,1.3924336793947518,1.4260616769362708,112.0,111.0,False
2011_02_24_2__37302614bfe9,2.6129471643232676,2.673520929888858,47.0,48.0,False
2011_02_24_2__d7e36165ddcb,2.028485115333754,2.1997086247857824,70.0,64.0,False
2011_03_01__7cb427856761,2.324542775058813,2.493097990740949,54.0,53.0,False
2011_03_22__bc4246c3109c,1.7115167004383673,1.6967968286894974,89.0,92.0,False
2011_04_14__a8e0e9263ab9,1.3425290139960322,1.3532557713192044,116.0,118.0,False
2011_04_24__f6e7f77016ec,1.6489780810658927,1.630623438012884,92.0,96.0,False
2011_05_05__4dc7e9cc8e00,1.014421756484574,1.0035383587675444,139.0,140.0,False
2011_06_21__0d8e18daf476,2.1050039203581274,2.551360702397694,65.0,51.0,False
2011_07_20__5bc817e4e8f9,1.2914490458499417,1.3069396414787586,121.0,121.0,False
2011_10_15__f674bc675070,0.9173884848424512,1.0568227528610326,143.0,137.0,False
2011_12_09_2__8ba7e14bd2da,9.14636116267934,8.78851851443959,16.0,24.0,True
2012_01_25_2__682dc53e8340,9.136377106130118,8.950954299999374,17.0,10.0,True
