a_filename,b_filename,c_filename,a_date,b_date,c_date,d_ab,d_bc,d_ac,aba_score_geometry,return_features_count,return_features
2010_09_20_2__89a2ee86126a.png,2010_10_16__14bfb097ffa7.png,2010_11_01_3__3140353e0379.png,2010-09-20,2010-10-16,2010-11-01,1.4653528205087734,1.322816586549364,1.184625420007383,0.20945928352168575,5,central_depth_contrast; mouth_nose_offset; brow_height_asym; nose_axis_bend_3d; midface_ratio
2008_06_26__bed71e0ccc74.png,2008_07_14__5a2af27b6bc8.png,2008_07_28__649a348723ff.png,2008-06-26,2008-07-14,2008-07-28,1.0028314155329223,0.9434875818189822,0.782461529393267,0.19069796928268523,2,midface_ratio; nose_ridge_length_3d
2008_10_30__f32c7fd7c3c1.png,2008_11_19__c68501438887.png,2008_12_04__a44ee4e0195d.png,2008-10-30,2008-11-19,2008-12-04,0.9840530473066131,1.5253787880006464,1.0845458057686104,0.1701701118850194,2,nose_base_width_3d; mouth_width_3d
2000_01_14__71a2978f8963.png,2000_01_25__abb13fb9f924.png,2000_01_26__491e4b1a2e04.png,2000-01-14,2000-01-25,2000-01-26,0.7169796387900932,1.271112538941969,0.8307555606430104,0.16329052822302081,2,nose_base_width_3d; mouth_width_3d
2009_06_03__4db76aa26c0a.png,2009_06_10__6294280d8f6b.png,2009_08_24__f8294b3bf327.png,2009-06-03,2009-06-10,2009-08-24,1.3736705698239244,0.9529949039427655,1.0161021907024543,0.1472305461808907,2,eye_level_asym; nose_ridge_length_3d
2010_03_26_2__47ed13ad536e.png,2010_06_28__80f5c9f5d085.png,2010_07_19__fc479667e703.png,2010-03-26,2010-06-28,2010-07-19,1.1216939220468884,1.5150339306017022,1.179976424888408,0.1383875014358873,4,brow_eye_right_3d; nose_base_asym; nose_axis_bend_3d; brow_eye_left_3d
2004_11_21__f960ff2a830e.png,2005_04_10__1805ec77ee6b.png,2005_05_01__6dfbdcfbb01e.png,2004-11-21,2005-04-10,2005-05-01,0.8811232099431734,1.4688911512011966,1.036737305674923,0.13826987489726217,3,nose_base_asym; mouth_height_3d; mouth_width_3d
2010_11_11__542e7ea9e454.png,2010_12_16__63103bd2e9dd.png,2011_01_14__9c042350b198.png,2010-11-11,2010-12-16,2011-01-14,0.9782944932894486,1.3522176861282302,1.0279370795205187,0.1373190101883206,2,mouth_height_3d; eye_level_asym
2006_11_10__6a4841acc11b.png,2006_12_21__4a0f42ab7782.png,2007_01_01__2768afcf0ae7.png,2006-11-10,2006-12-21,2007-01-01,1.3632024222761936,2.0986542809407545,1.5996448811525525,0.13128347045592137,2,brow_eye_left_3d; mouth_width_3d
2008_12_04__a44ee4e0195d.png,2009_01_28__54256cf39c87.png,2009_03_28__bad9e42a4be4.png,2008-12-04,2009-01-28,2009-03-28,1.4073562287011459,1.2009372653146446,1.1987329570911156,0.10541378991677974,3,brow_height_asym; nose_ridge_length_3d; brow_eye_asym
2007_04_13__d0fcd06eb526.png,2007_08_02__5c6c7977163b.png,2007_08_03_2__1cff200676db.png,2007-04-13,2007-08-02,2007-08-03,1.0586594044907396,1.1722300201723315,1.0288375054080583,0.08660720692347734,3,mouth_height_3d; midface_ratio; mouth_nose_offset
2010_08_03__f404f7dc0b6b.png,2010_09_20_2__89a2ee86126a.png,2010_10_16__14bfb097ffa7.png,2010-08-03,2010-09-20,2010-10-16,1.2798578694642013,1.4653528205087734,1.3084640885439855,0.0641412564425019,4,midface_ratio; mouth_nose_offset; mouth_width_3d; nose_base_width_3d
2002_11_01__91b483a91623.png,2002_12_02__c759b9171ecc.png,2003_01_10__23b16927f674.png,2002-11-01,2002-12-02,2003-01-10,1.26031488393371,0.9513159529089209,1.046538318259127,0.059277100162188345,2,brow_height_asym; nose_ridge_length_3d
2003_02_10__8b8a3de48d19.png,2003_02_23__d83f5fd3cb0e.png,2003_03_09__d963c3a2a7fd.png,2003-02-10,2003-02-23,2003-03-09,1.4783685565845757,1.2161425598480018,1.2971066881450384,0.05014887007125046,3,nose_base_width_3d; nose_projection_3d; nose_ridge_length_3d
2003_02_23__d83f5fd3cb0e.png,2003_03_09__d963c3a2a7fd.png,2003_05_27__2ae6d9853e43.png,2003-02-23,2003-03-09,2003-05-27,1.2161425598480018,0.9383955464214052,1.0332734350655928,0.04399561806911079,2,nose_base_asym; eye_level_asym
2012_05_08_3__b904d13d5826.png,2012_05_15__b96d935cf377.png,2012_07_11__a475f393ba1c.png,2012-05-08,2012-05-15,2012-07-11,1.2523522291811646,0.8831935429861238,1.0367561791566298,0.031016706927014415,2,brow_eye_asym; brow_height_asym
2011_04_14__a8e0e9263ab9.png,2011_04_24__f6e7f77016ec.png,2011_05_05__4dc7e9cc8e00.png,2011-04-14,2011-04-24,2011-05-05,1.5327440304505813,0.9823001897660312,1.2384153951444923,0.019106714963813998,4,midface_ratio; nose_axis_bend_3d; nose_ridge_length_3d; nose_base_width_3d
2008_03_02__0921b0aaaea1.png,2008_04_28__59ebffc06e1d.png,2008_05_14__8c59f8c2941d.png,2008-03-02,2008-04-28,2008-05-14,1.1332671016782727,1.0409398307287956,1.0690519131030995,0.018051553100434603,3,nose_projection_3d; central_depth_contrast; mouth_width_3d
2006_07_15__1090d2b5f85f.png,2006_08_03__e6dd3fd0f342.png,2006_10_11__cb83f4b73aca.png,2006-07-15,2006-08-03,2006-10-11,1.2412128255525783,1.6358080341694314,1.4231719436280947,0.015338486232910231,2,mouth_height_3d; nose_base_width_3d
2010_06_28__80f5c9f5d085.png,2010_07_19__fc479667e703.png,2010_08_03__f404f7dc0b6b.png,2010-06-28,2010-07-19,2010-08-03,1.5150339306017022,1.4154745640821722,1.4534670651565342,0.011787182185402978,4,nose_ridge_length_3d; central_depth_contrast; mouth_nose_offset; nose_base_asym
2008_07_28__649a348723ff.png,2008_10_30__f32c7fd7c3c1.png,2008_11_19__c68501438887.png,2008-07-28,2008-10-30,2008-11-19,0.8579158002052005,0.9840530473066131,0.9508067938231064,-0.029822370067199566,2,mouth_height_3d; nose_projection_3d
2009_10_29__e12fd98ba226.png,2009_11_25__d6449a26fbe8.png,2009_12_10_2__e94160bb38b8.png,2009-10-29,2009-11-25,2009-12-10,1.5750805988182162,1.1871449720907856,1.4247172181852754,-0.04360443273077452,2,mouth_width_3d; brow_eye_right_3d
2003_03_09__d963c3a2a7fd.png,2003_05_27__2ae6d9853e43.png,2003_05_31__e9ac5dbfdd44.png,2003-03-09,2003-05-27,2003-05-31,0.9383955464214052,0.9723560236583819,1.0005362916033098,-0.04516050656341619,1,mouth_height_3d
2010_11_01__7e0576e152de.png,2010_11_05_2__9eedef9c9490.png,2010_11_11__542e7ea9e454.png,2010-11-01,2010-11-05,2010-11-11,1.794390320892537,1.3471516544382327,1.6195892931268154,-0.04881830546143062,1,brow_height_asym
2007_08_03_2__1cff200676db.png,2007_09_07__d22877d53827.png,2007_09_13__b79f7e4fa307.png,2007-08-03,2007-09-07,2007-09-13,1.6893082684027105,2.5437356274030996,2.165684730189942,-0.049162782287036855,5,nose_base_asym; brow_span_3d; brow_eye_left_3d; nose_axis_bend_3d; mouth_height_3d
2008_01_07__8cdca7ad7769.png,2008_01_12__0fa6831a685b.png,2008_02_01__1c9577a6c773.png,2008-01-07,2008-01-12,2008-02-01,1.245878423899305,2.7478544287640516,2.053026371996347,-0.056159945664668864,4,brow_eye_left_3d; mouth_nose_offset; brow_eye_right_3d; nose_ridge_length_3d
2005_08_26__13a78f673740.png,2005_09_03__e377b3477c75.png,2005_10_05__bce8361b3016.png,2005-08-26,2005-09-03,2005-10-05,1.7100032722966738,1.0236958789441692,1.4374169261043623,-0.0705673504839408,1,mouth_height_3d
