stem,filename,date,brow_span_3d,brow_height_asym,eye_anchor_spacing_3d,eye_level_asym,brow_eye_left_3d,brow_eye_right_3d,brow_eye_asym,nose_ridge_length_3d,nose_base_width_3d,nose_axis_bend_3d,nose_base_asym,nose_projection_3d,midface_ratio,mouth_width_3d,mouth_height_3d,mouth_nose_offset,central_depth_contrast,geometry_anomaly_score,features_over_2_5mad,top_changed_features
2003_02_10_1__3769e8a139ff,2003_02_10_1__3769e8a139ff.png,2003-02-10,1.232597143388747,0.0376720692371072,1.2422761016445387,0.049546496372175564,0.34783109820668473,0.3765234300231534,0.028692331816468686,0.8908302758129557,0.5385867106185379,0.011111863338396477,0.05920009533229913,0.4654066304957821,0.9821088987258701,1.1852117329492275,0.26205522906489853,0.028472976119047547,0.9094506928904257,2.4993017069764005,1,nose_base_asym; brow_height_asym; nose_projection_3d; brow_eye_left_3d; mouth_nose_offset
2003_02_10__8b8a3de48d19,2003_02_10__8b8a3de48d19.png,2003-02-10,1.284531406406135,0.03579062585096571,1.2995270547885818,0.040815354510401414,0.3555151524529768,0.3677994682914421,0.012284315838465287,0.9017270490960938,0.547299609051084,0.008362159411223265,0.016026366397364655,0.5016177111147724,0.9048586917009777,1.2165613576612673,0.2975134854205027,0.007157216829974552,0.8956921532970707,1.3847006316079855,0,midface_ratio; eye_anchor_spacing_3d; brow_span_3d; brow_eye_asym; brow_height_asym
2003_02_23__d83f5fd3cb0e,2003_02_23__d83f5fd3cb0e.png,2003-02-23,1.2227131105029703,0.026449824401274302,1.2124950496536957,0.04898811209178977,0.33439999432308665,0.36709785168537906,0.032697857362292415,0.8605061541057658,0.49697167396710396,0.010221514358412351,0.014372815815545281,0.4454530611894073,1.0057644080474106,1.1680041447967728,0.28426084542616925,0.001989557986159421,0.8476474034137533,1.3288926032369774,0,nose_ridge_length_3d; nose_projection_3d; nose_base_width_3d; central_depth_contrast; midface_ratio
2003_03_09__d963c3a2a7fd,2003_03_09__d963c3a2a7fd.png,2003-03-09,1.238397629368732,0.03231588403437491,1.2465894810621543,0.06363797660386272,0.3208157437642136,0.3555311045708762,0.0347153608066626,0.8894472426233265,0.5420610889017542,0.006960427470513022,0.024305498641261594,0.4876969183801208,0.9706227821704742,1.2412189386267305,0.27376807827941607,0.03709909180958659,0.8382321046253375,1.4231483105402294,0,nose_base_asym; eye_level_asym; central_depth_contrast; mouth_nose_offset; nose_axis_bend_3d
2003_05_27__2ae6d9853e43,2003_05_27__2ae6d9853e43.png,2003-05-27,1.2278694869288278,0.02299794316218562,1.2418667264767056,0.05114274130424534,0.30723210670663476,0.34477025704133524,0.03753815033470048,0.8768281944712468,0.5173338699298985,0.00792791856189953,0.017813773458575315,0.501337883314677,0.9609224877563386,1.224689944271005,0.36565467290260145,0.019362636322923628,0.9000841387703878,0.9458847056810594,0,mouth_height_3d; brow_eye_left_3d; brow_eye_right_3d; nose_ridge_length_3d; nose_axis_bend_3d
2003_05_31__e9ac5dbfdd44,2003_05_31__e9ac5dbfdd44.png,2003-05-31,1.2565594657381476,0.01577749131978534,1.265737856078563,0.050762090548166716,0.3313907417601747,0.3712495445407283,0.03985880278055359,0.879805041808181,0.5693786396024556,0.006768289794099637,0.016536211151709578,0.5253120674494471,0.9295626270209997,1.3083833134539464,0.2686366635477694,0.025792729389425763,0.9031420563697614,1.2621227498913548,0,nose_base_width_3d; mouth_width_3d; nose_projection_3d; nose_axis_bend_3d; midface_ratio
2003_06_01__f274abb4ab60,2003_06_01__f274abb4ab60.png,2003-06-01,1.2270539819917317,0.023639136557011442,1.2135010992520388,0.05467209873273615,0.3290232523180027,0.36494604292351646,0.03592279060551373,0.8610875130449256,0.5244888158961108,0.006853868585223471,0.017464038413081105,0.48641837338967875,0.9768628887516743,1.2607372755052089,0.3483853581606712,0.03411986084396369,0.8495716049818977,1.2545249046140263,0,mouth_height_3d; nose_ridge_length_3d; central_depth_contrast; mouth_nose_offset; nose_axis_bend_3d
2003_06_21__ac7632b62d02,2003_06_21__ac7632b62d02.png,2003-06-21,1.2125760859144927,0.033034849194189086,1.2019308713550152,0.041192560025440805,0.35544883864885357,0.37133728424798845,0.01588844559913488,0.8643434638554377,0.5381976112143352,0.010576486758204821,0.013923761807842341,0.4752687181787682,0.9747637201367098,1.231256492455805,0.4096497646429109,0.0005677830643356918,0.8463625945135761,1.5589294150587159,1,mouth_height_3d; nose_ridge_length_3d; central_depth_contrast; eye_anchor_spacing_3d; brow_span_3d
2003_08_04_5__ff990e8c18e9,2003_08_04_5__ff990e8c18e9.png,2003-08-04,1.2434332391120477,0.027379082611567407,1.2471047169809228,0.02085252226194012,0.3098922837077474,0.3159980096382914,0.0061057259305439815,0.8981439173969493,0.5340297596342554,0.013633887685999865,0.0635374359829112,0.5104793832548608,0.9997609998995581,1.2324791646847586,0.2882241376282947,0.056876005170928404,0.9746514246831975,3.8338651452914547,3,nose_base_asym; eye_level_asym; mouth_nose_offset; central_depth_contrast; brow_eye_right_3d
2003_10_10_2__fdf2604badbd,2003_10_10_2__fdf2604badbd.png,2003-10-10,1.2259205899989905,0.02770730594603099,1.2181119705089043,0.06465516570974605,0.39050823075835456,0.43564835975097166,0.0451401289926171,0.8704470374023326,0.5328957041701041,0.007683497924642766,0.016081095398597773,0.4960119488532776,0.9536406051355067,1.2757503556592678,0.267621812641342,0.01789077459821134,0.8845250171834671,1.734721914953104,1,brow_eye_right_3d; brow_eye_left_3d; eye_level_asym; nose_ridge_length_3d; mouth_width_3d
